,PH_SEQ,In Labor Force?,Unempoyment Status,Received UIB,UIB Amount,Duration of unemployment,Moving Status,Race,Sex,Year,GTCBSA
12024,6151.0,3.0,2.0,2.0,0.0,52.0,0.0,3.0,2.0,2021.0,14860.0
12080,6176.0,3.0,2.0,1.0,12800.0,10.0,0.0,4.0,1.0,2021.0,14860.0
12164,6202.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,2021.0,14860.0
12307,6276.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,2021.0,25540.0
12332,6285.0,3.0,2.0,2.0,0.0,52.0,0.0,1.0,1.0,2021.0,25540.0
12367,6302.0,3.0,2.0,1.0,20000.0,60.0,0.0,1.0,1.0,2021.0,25540.0
12375,6306.0,4.0,2.0,1.0,4000.0,52.0,0.0,1.0,1.0,2021.0,25540.0
12417,6326.0,3.0,2.0,2.0,0.0,26.0,0.0,1.0,1.0,2021.0,25540.0
12508,6395.0,3.0,2.0,2.0,0.0,99.0,0.0,2.0,1.0,2021.0,25540.0
12548,6410.0,3.0,2.0,2.0,0.0,16.0,0.0,2.0,2.0,2021.0,25540.0
12551,6411.0,4.0,2.0,1.0,7969.0,2.0,0.0,2.0,2.0,2021.0,25540.0
12569,6418.0,3.0,2.0,2.0,0.0,43.0,0.0,1.0,1.0,2021.0,25540.0
12595,6427.0,3.0,2.0,2.0,0.0,22.0,0.0,1.0,2.0,2021.0,25540.0
12616,6433.0,3.0,2.0,2.0,0.0,22.0,0.0,1.0,2.0,2021.0,25540.0
12695,6472.0,4.0,2.0,1.0,2400.0,2.0,0.0,1.0,1.0,2021.0,25540.0
12738,6495.0,3.0,2.0,1.0,24200.0,52.0,0.0,1.0,2.0,2021.0,25540.0
12786,6521.0,4.0,2.0,2.0,0.0,6.0,0.0,1.0,1.0,2021.0,35300.0
12807,6533.0,3.0,2.0,2.0,0.0,99.0,0.0,1.0,1.0,2021.0,35300.0
12883,6570.0,3.0,2.0,2.0,0.0,11.0,0.0,4.0,2.0,2021.0,35300.0
12896,6577.0,3.0,2.0,2.0,0.0,47.0,0.0,1.0,1.0,2021.0,35300.0
12905,6581.0,3.0,2.0,1.0,1200.0,8.0,0.0,2.0,2.0,2021.0,35300.0
